,SH_Morts,MHW_Morts,CI_Morts,MHW_CI_Morts,Total_Morts,Proportion
Ostrea lurida,18,11,5,16,34,0.02125
Crassostrea sikamea,25,3,52,55,80,0.05
Magallana gigas,0,0,10,10,10,0.00625
