SH_Treatment,SH_Tide,SH_Temp,SH-mortality,MHW-mortality,Outplant_Date,Survival_Date,Outplanted_Numb,Survival_Numb
15 x Tide,Tide,15,2,6,17-Mar-22,20-Dec-22,792,0
21 x Tide,Tide,21,4,7,17-Mar-22,20-Dec-22,789,0
15 x No Tide,No Tide,15,2,6,17-Mar-22,20-Dec-22,792,52
21 x No Tide,No Tide,21,2,5,17-Mar-22,20-Dec-22,793,210
