SH_Temp,SH_Tide,MHW,Numb_Dead
15˚C,No Tide,15˚C,2
15˚C,No Tide,18˚C,5
15˚C,No Tide,21˚C,2
15˚C,No Tide,24˚C,4
15˚C,Tide,15˚C,6
15˚C,Tide,18˚C,2
15˚C,Tide,21˚C,2
15˚C,Tide,24˚C,6
21˚C,No Tide,15˚C,2
21˚C,No Tide,18˚C,1
21˚C,No Tide,21˚C,3
21˚C,No Tide,24˚C,5
21˚C,Tide,15˚C,1
21˚C,Tide,18˚C,5
21˚C,Tide,21˚C,1
21˚C,Tide,24˚C,5
