SH_Tide,SH_Temp,MHW,Mean_L,SD_L,SE_L,Mean_W,SD_W,SE_W
No Tide,15,15,7.0591,1.1465002336302796,0.16213961796638635,5.50126,1.2861167752548122,0.1818843786360905
No Tide,15,18,6.26968,1.523640008368788,0.2154752364009396,5.09616,1.1739813015233806,0.16602602785867826
No Tide,15,21,6.39522,1.155990101115728,0.16348168789669082,5.11604,1.1213435629290645,0.1585819274774051
No Tide,15,24,6.25806,1.1537679604368516,0.163167429748134,5.13056,0.973972827010642,0.1377405581341314
No Tide,21,15,6.5348,1.1574541556575706,0.16368873647560356,5.22828,1.14597131139074,0.16206481706592657
No Tide,21,18,6.44936,1.325565120302758,0.18746321709408836,5.09234,1.2125469670684672,0.1714800365842589
No Tide,21,21,6.6376122448979595,1.150672626052666,0.16438180372180944,5.350632653061225,1.1713403948375687,0.16733434211965267
No Tide,21,24,6.01272,1.1925413446818145,0.16865081433396698,4.7135,0.9062595756003612,0.1281644582844516
Tide,15,15,6.69764,1.2487426780239261,0.17659888311755353,5.36294,1.326769644740217,0.1876335625736548
Tide,15,18,6.1995000000000005,1.0520145930934763,0.1487773305367207,5.06542,1.1630110303581362,0.16447459723219837
Tide,15,21,6.3058125,1.065929774068011,0.15385371049885077,4.890479166666666,1.0630113585907293,0.15343247350849684
Tide,15,24,6.2125,0.992797187295593,0.14040272469592893,5.16082,1.0138958745797302,0.1433865296664785
Tide,21,15,6.19038,1.3597031622334907,0.19229106528321874,5.3517,1.521231969188668,0.21513468823421444
Tide,21,18,6.027816326530612,1.183073586635488,0.16901051237649828,4.905816326530612,1.2861468240683973,0.18373526058119963
Tide,21,21,6.18602,0.9889316538155543,0.13985605570860113,5.04556,1.0065745338746148,0.14235113573448566
Tide,21,24,5.94466,1.1386986057310677,0.16103630116802098,4.85524,1.078694951488764,0.1525505030058798
