SH_Temp,MHW,Mean_Shell.mg,SD_Shell.mg,SE_Shell.mg,Mean_Tissue_mg,SD_Tissue.mg,SE_Tissue.mg,Mean_CI,SD_CI,SE_CI
15˚C,15˚C,12.99875,5.59363322,0.625387206,0.82625,0.406511479,0.045449365,6.713125,3.032336324,0.339025508
15˚C,18˚C,14.181,6.257467377,0.625746738,1.112,0.8409086,0.08409086,8.54287,6.400547277,0.640054728
15˚C,21˚C,14.26734694,6.181678541,0.624443831,1.063265306,0.475240092,0.048006499,7.703234694,2.396871921,0.242120627
15˚C,24˚C,15.11212121,6.343183272,0.637513906,1.049494949,0.692728079,0.069621791,6.935565657,2.375491567,0.238745886
21˚C,15˚C,12.51,5.831312248,0.651960529,0.695,0.380838515,0.04257904,5.6706375,2.293446029,0.256415061
21˚C,18˚C,14.26666667,7.15782717,0.719388698,1.043434343,0.874253223,0.087865755,7.471767677,4.958701397,0.498368242
21˚C,21˚C,14.56060606,6.209995534,0.624128034,1.019191919,0.489830618,0.049229829,7.225777778,2.026555309,0.203676472
21˚C,24˚C,13.39393939,6.471394169,0.650399586,0.949494949,0.769358829,0.077323472,7.488737374,5.23055713,0.525690771
