SH_Temp,SH_Tide,MHW,Numb_Dead
15,No Tide,15,2
15,No Tide,18,5
15,No Tide,21,2
15,No Tide,24,4
15,Tide,15,6
15,Tide,18,2
15,Tide,21,2
15,Tide,24,6
21,No Tide,15,2
21,No Tide,18,1
21,No Tide,21,3
21,No Tide,24,5
21,Tide,15,1
21,Tide,18,5
21,Tide,21,1
21,Tide,24,5
