Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI,Notes
Ostrea lurida,Yellow,20,21˚C,Tide,21˚C,7,7,A9,0.0177,0.0327,0.0319,0.0142,0.0008,14.2,0.8,5.634,
Ostrea lurida,Yellow,20,21˚C,Tide,21˚C,8,7,A10,0.017,0.0323,0.0315,0.0145,0.0008,14.5,0.8,5.517,
Ostrea lurida,Yellow,20,21˚C,Tide,21˚C,6,7,A8,0.0188,0.0382,0.0372,0.0184,0.001,18.4,1,5.435,
Ostrea lurida,Yellow,20,21˚C,Tide,21˚C,10,7,A12,0.0196,0.0393,0.0383,0.0187,0.001,18.7,1,5.348,
Ostrea lurida,Yellow,19,21˚C,No Tide,15˚C,4,6,F12,0.0203,0.032,0.0306,0.0103,0.0014,10.3,1.4,13.592,
Ostrea lurida,Yellow,19,21˚C,No Tide,15˚C,1,6,F9,0.016,0.0315,0.0303,0.0143,0.0012,14.3,1.2,8.392,
Ostrea lurida,Yellow,19,21˚C,No Tide,15˚C,9,6,G5,0.0198,0.0392,0.0377,0.0179,0.0015,17.9,1.5,8.380,
Ostrea lurida,Yellow,19,21˚C,No Tide,15˚C,2,6,F10,0.0186,0.0268,0.0262,0.0076,0.0006,7.6,0.6,7.895,
Ostrea lurida,Yellow,19,21˚C,No Tide,15˚C,8,6,G4,0.0193,0.0263,0.0258,0.0065,0.0005,6.5,0.5,7.692,
Ostrea lurida,Yellow,19,21˚C,No Tide,15˚C,10,6,G6,0.0149,0.0309,0.0298,0.0149,0.0011,14.9,1.1,7.383,
Ostrea lurida,Yellow,19,21˚C,No Tide,15˚C,5,6,G1,0.0201,0.0293,0.0287,0.0086,0.0006,8.6,0.6,6.977,
Ostrea lurida,Yellow,19,21˚C,No Tide,15˚C,7,6,G3,0.0191,0.0331,0.0322,0.0131,0.0009,13.1,0.9,6.870,
Ostrea lurida,Yellow,19,21˚C,No Tide,15˚C,3,6,F11,0.0174,0.0301,0.0293,0.0119,0.0008,11.9,0.8,6.723,
Ostrea lurida,Yellow,19,21˚C,No Tide,15˚C,6,6,G2,0.0195,0.0508,0.0489,0.0294,0.0019,29.4,1.9,6.463,
Ostrea lurida,Yellow,19,21˚C,No Tide,21˚C,10,6,H4,0.0197,0.0467,0.0433,0.0236,0.0034,23.6,3.4,14.407,
Ostrea lurida,Yellow,19,21˚C,No Tide,21˚C,8,6,H2,0.0155,0.0267,0.0256,0.0101,0.0011,10.1,1.1,10.891,
Ostrea lurida,Yellow,19,21˚C,No Tide,21˚C,5,6,G11,0.0161,0.0391,0.0371,0.021,0.002,21,2,9.524,
Ostrea lurida,Yellow,19,21˚C,No Tide,21˚C,1,6,G7,0.0187,0.0246,0.0241,0.0054,0.0005,5.4,0.5,9.259,
Ostrea lurida,Yellow,19,21˚C,No Tide,21˚C,9,6,H3,0.0185,0.03,0.0291,0.0106,0.0009,10.6,0.9,8.491,
Ostrea lurida,Yellow,19,21˚C,No Tide,21˚C,2,6,G8,0.0185,0.0315,0.0306,0.0121,0.0009,12.1,0.9,7.438,
Ostrea lurida,Yellow,19,21˚C,No Tide,21˚C,4,6,G10,0.0192,0.0306,0.0299,0.0107,0.0007,10.7,0.7,6.542,
Ostrea lurida,Yellow,19,21˚C,No Tide,21˚C,6,6,G12,0.0143,0.0323,0.0313,0.017,0.001,17,1,5.882,
Ostrea lurida,Yellow,19,21˚C,No Tide,21˚C,7,6,H1,0.017,0.0231,0.0228,0.0058,0.0003,5.8,0.3,5.172,
Ostrea lurida,Yellow,19,21˚C,No Tide,21˚C,3,6,G9,0.0186,0.0381,0.0373,0.0187,0.0008,18.7,0.8,4.278,
Ostrea lurida,Yellow,19,21˚C,Tide,15˚C,6,6,E6,0.0174,0.0336,0.0321,0.0147,0.0015,14.7,1.5,10.204,
Ostrea lurida,Yellow,19,21˚C,Tide,15˚C,2,6,E2,0.0193,0.0296,0.0287,0.0094,0.0009,9.4,0.9,9.574,
