Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI,Notes
Ostrea lurida,Yellow,9,18,Tide,21,7,4,E1,0.0174,0.0314,0.0305,0.0131,9e-4,13.1,0.9,6.87,NA
Ostrea lurida,Yellow,9,18,Tide,21,8,4,E2,0.0168,0.0247,0.0211,0.0043,0.0036,4.3,3.6,83.721,NA
Ostrea lurida,Yellow,9,18,Tide,21,9,4,E3,0.0133,0.0212,0.0135,2e-4,0.0077,0.2,7.7,3850,NA
Ostrea lurida,Yellow,9,18,Tide,21,10,4,E4,0.0221,0.0266,0.0243,0.0022,0.0023,2.2,2.3,104.545,NA
Ostrea lurida,Yellow,9,18,No Tide,15,1,4,E5,0.015,0.0285,0.0279,0.0129,6e-4,12.9,0.6,4.651,NA
Ostrea lurida,Yellow,9,18,No Tide,15,2,4,E6,0.0154,0.0223,0.022,0.0066,3e-4,6.6,0.3,4.545,NA
Ostrea lurida,Yellow,9,18,No Tide,15,3,4,E7,0.014,0.029,0.0279,0.0139,0.0011,13.9,1.1,7.914,NA
Ostrea lurida,Yellow,9,18,No Tide,15,4,4,E8,0.0136,0.0198,0.0193,0.0057,5e-4,5.7,0.5,8.772,NA
Ostrea lurida,Yellow,9,18,No Tide,15,5,4,E9,0.0156,0.0265,0.0259,0.0103,6e-4,10.3,0.6,5.825,NA
Ostrea lurida,Yellow,9,18,No Tide,15,6,4,E10,0.0137,0.0278,0.0263,0.0126,0.0015,12.6,1.5,11.905,NA
Ostrea lurida,Yellow,9,18,No Tide,15,7,4,E11,0.0185,0.0272,0.0263,0.0078,9e-4,7.8,0.9,11.538,NA
Ostrea lurida,Yellow,9,18,No Tide,15,8,4,E12,0.0204,0.0297,0.0291,0.0087,6e-4,8.7,0.6,6.897,NA
Ostrea lurida,Yellow,9,18,No Tide,15,9,4,F1,0.0166,0.0265,0.025,0.0084,0.0015,8.4,1.5,17.857,NA
Ostrea lurida,Yellow,9,18,No Tide,15,10,4,F2,0.0208,0.0407,0.0401,0.0193,6e-4,19.3,0.6,3.109,NA
Ostrea lurida,Yellow,9,18,No Tide,21,1,4,F3,0.0183,0.041,0.0397,0.0214,0.0013,21.4,1.3,6.075,NA
Ostrea lurida,Yellow,9,18,No Tide,21,2,4,F4,0.0211,0.0286,0.0282,0.0071,4e-4,7.1,0.4,5.634,NA
Ostrea lurida,Yellow,9,18,No Tide,21,3,4,F5,0.0179,0.0276,0.0271,0.0092,5e-4,9.2,0.5,5.435,NA
Ostrea lurida,Yellow,9,18,No Tide,21,4,4,F6,0.0174,0.0257,0.0253,0.0079,4e-4,7.9,0.4,5.063,NA
Ostrea lurida,Yellow,9,18,No Tide,21,5,4,F7,0.0137,0.0273,0.0267,0.013,6e-4,13,0.6,4.615,NA
Ostrea lurida,Yellow,9,18,No Tide,21,6,4,F8,0.0231,0.0329,0.0324,0.0093,5e-4,9.3,0.5,5.376,NA
Ostrea lurida,Yellow,9,18,No Tide,21,7,4,F9,0.0223,0.042,0.0411,0.0188,9e-4,18.8,0.9,4.787,NA
Ostrea lurida,Yellow,9,18,No Tide,21,8,4,F10,0.0159,0.0336,0.0328,0.0169,8e-4,16.9,0.8,4.734,NA
Ostrea lurida,Yellow,9,18,No Tide,21,9,4,F11,0.016,0.027,0.0263,0.0103,7e-4,10.3,0.7,6.796,NA
Ostrea lurida,Yellow,9,18,No Tide,21,10,4,F12,0.0225,0.0379,0.0371,0.0146,8e-4,14.6,0.8,5.479,NA
Ostrea lurida,Yellow,10,18,Tide,15,1,4,G1,0.0226,0.0489,0.0423,0.0197,0.0066,19.7,6.6,33.503,NA
Ostrea lurida,Yellow,10,18,Tide,15,2,4,G2,0.0201,0.0336,0.032,0.0119,0.0016,11.9,1.6,13.445,NA
Ostrea lurida,Yellow,10,18,Tide,15,3,4,G3,0.0168,0.0295,0.0285,0.0117,0.001,11.7,1,8.547,NA
Ostrea lurida,Yellow,10,18,Tide,15,4,4,G4,0.0223,0.03,0.0295,0.0072,5e-4,7.2,0.5,6.944,NA
Ostrea lurida,Yellow,10,18,Tide,15,5,4,G5,0.0191,0.0329,0.0328,0.0137,1e-4,13.7,0.1,0.73,NA
Ostrea lurida,Yellow,10,18,Tide,15,6,4,G6,0.019,0.0297,0.029,0.01,7e-4,10,0.7,7,NA
Ostrea lurida,Yellow,10,18,Tide,15,7,4,G7,0.0225,0.0344,0.0335,0.011,9e-4,11,0.9,8.182,NA
Ostrea lurida,Yellow,10,18,Tide,15,8,4,G8,0.0241,0.0404,0.0394,0.0153,0.001,15.3,1,6.536,NA
Ostrea lurida,Yellow,10,18,Tide,15,9,4,G9,0.0183,0.0305,0.0297,0.0114,8e-4,11.4,0.8,7.018,NA
Ostrea lurida,Yellow,10,18,Tide,15,10,4,G10,0.0185,0.0285,0.0275,0.009,0.001,9,1,11.111,NA
Ostrea lurida,Yellow,10,18,Tide,21,1,4,G11,0.0207,0.0454,0.0443,0.0236,0.0011,23.6,1.1,4.661,NA
Ostrea lurida,Yellow,10,18,Tide,21,2,4,G12,0.0187,0.0336,0.0325,0.0138,0.0011,13.8,1.1,7.971,NA
Ostrea lurida,Yellow,10,18,Tide,21,3,4,H1,0.0186,0.0349,0.0341,0.0155,8e-4,15.5,0.8,5.161,NA
Ostrea lurida,Yellow,10,18,Tide,21,4,4,H2,0.018,0.0288,0.0281,0.0101,7e-4,10.1,0.7,6.931,NA
Ostrea lurida,Yellow,10,18,Tide,21,5,4,H3,0.0267,0.0517,0.0505,0.0238,0.0012,23.8,1.2,5.042,NA
Ostrea lurida,Yellow,10,18,Tide,21,6,4,H4,0.0165,0.0371,0.0358,0.0193,0.0013,19.3,1.3,6.736,NA
Ostrea lurida,Yellow,10,18,Tide,21,7,4,H5,0.0187,0.0481,0.0468,0.0281,0.0013,28.1,1.3,4.626,NA
Ostrea lurida,Yellow,10,18,Tide,21,8,4,H6,0.0194,0.0291,0.0285,0.0091,6e-4,9.1,0.6,6.593,NA
Ostrea lurida,Yellow,10,18,Tide,21,9,4,H7,0.0152,0.0293,0.0288,0.0136,5e-4,13.6,0.5,3.676,NA
Ostrea lurida,Yellow,10,18,Tide,21,10,4,H8,0.0123,0.0289,0.0276,0.0153,0.0013,15.3,1.3,8.497,NA
Ostrea lurida,Yellow,10,18,No Tide,15,1,4,H9,0.019,0.0253,0.0246,0.0056,7e-4,5.6,0.7,12.5,NA
Ostrea lurida,Yellow,10,18,No Tide,15,2,4,H10,0.0154,0.0288,0.0277,0.0123,0.0011,12.3,1.1,8.943,NA
Ostrea lurida,Yellow,10,18,No Tide,15,3,4,H11,0.0179,0.0333,0.0324,0.0145,9e-4,14.5,0.9,6.207,NA
