Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI
Ostrea lurida,Yellow,9,18,No Tide,15,6,4,E10,0.0137,0.0278,0.0263,0.0126,0.0015,12.6,1.5,11.905
Ostrea lurida,Yellow,8,18,No Tide,21,2,4,B12,0.0188,0.05,0.0467,0.0279,0.0033,27.9,3.3,11.828
Ostrea lurida,Yellow,2,15,Tide,15,6,1,D10,0.0171,0.0285,0.0273,0.0102,0.0012,10.2,1.2,11.765
Ostrea lurida,Yellow,11,24,No Tide,15,8,5,D8,0.0253,0.0396,0.0381,0.0128,0.0015,12.8,1.5,11.719
Ostrea lurida,Yellow,12,24,No Tide,15,7,5,G11,0.0161,0.0601,0.0555,0.0394,0.0046,39.4,4.6,11.675
Ostrea lurida,Yellow,11,24,No Tide,21,7,5,E5,0.0154,0.0231,0.0223,0.0069,8e-4,6.9,0.8,11.594
Ostrea lurida,Yellow,16,21,No Tide,21,1,5,E7,0.0256,0.0507,0.0481,0.0225,0.0026,22.5,2.6,11.556
Ostrea lurida,Yellow,9,18,No Tide,15,7,4,E11,0.0185,0.0272,0.0263,0.0078,9e-4,7.8,0.9,11.538
Ostrea lurida,Yellow,18,21,Tide,21,1,6,B7,0.0194,0.0281,0.0272,0.0078,9e-4,7.8,0.9,11.538
Ostrea lurida,Yellow,10,18,No Tide,21,9,5,B3,0.0186,0.0245,0.0239,0.0053,6e-4,5.3,0.6,11.321
Ostrea lurida,Yellow,10,18,Tide,15,10,4,G10,0.0185,0.0285,0.0275,0.009,0.001,9,1,11.111
Ostrea lurida,Yellow,5,15,No Tide,21,1,2,H11,0.0156,0.0316,0.03,0.0144,0.0016,14.4,1.6,11.111
Ostrea lurida,Yellow,10,18,No Tide,21,3,5,A9,0.0187,0.0427,0.0403,0.0216,0.0024,21.6,2.4,11.111
Ostrea lurida,Yellow,13,24,Tide,21,1,5,A11,0.0219,0.0309,0.03,0.0081,9e-4,8.1,0.9,11.111
Ostrea lurida,Yellow,5,15,Tide,15,7,2,F11,0.0191,0.0252,0.0246,0.0055,6e-4,5.5,0.6,10.909
Ostrea lurida,Yellow,17,21,No Tide,21,1,5,H11,0.0201,0.0262,0.0256,0.0055,6e-4,5.5,0.6,10.909
Ostrea lurida,Yellow,19,21,No Tide,21,8,6,H2,0.0155,0.0267,0.0256,0.0101,0.0011,10.1,1.1,10.891
Ostrea lurida,Yellow,20,21,Tide,15,3,6,H7,0.0192,0.0284,0.0275,0.0083,9e-4,8.3,0.9,10.843
Ostrea lurida,Yellow,16,21,Tide,21,2,5,C12,0.0176,0.0238,0.0232,0.0056,6e-4,5.6,0.6,10.714
Ostrea lurida,Yellow,13,24,Tide,15,1,5,A1,0.0159,0.0221,0.0215,0.0056,6e-4,5.6,0.6,10.714
Ostrea lurida,Yellow,10,18,No Tide,21,10,5,B4,0.0198,0.0447,0.0423,0.0225,0.0024,22.5,2.4,10.667
Ostrea lurida,Yellow,18,21,No Tide,15,10,6,D2,0.0206,0.051,0.0481,0.0275,0.0029,27.5,2.9,10.545
Ostrea lurida,Yellow,18,21,No Tide,15,7,6,C11,0.0171,0.0287,0.0276,0.0105,0.0011,10.5,1.1,10.476
Ostrea lurida,Yellow,11,24,No Tide,15,1,5,D1,0.017,0.0445,0.0419,0.0249,0.0026,24.9,2.6,10.442
Ostrea lurida,Yellow,17,21,Tide,15,3,5,F7,0.019,0.0328,0.0315,0.0125,0.0013,12.5,1.3,10.4
Ostrea lurida,Yellow,11,24,Tide,21,3,5,C5,0.015,0.0235,0.0227,0.0077,8e-4,7.7,0.8,10.39
Ostrea lurida,Yellow,14,24,Tide,21,9,5,E11,0.0184,0.0269,0.0261,0.0077,8e-4,7.7,0.8,10.39
Ostrea lurida,Yellow,18,21,No Tide,21,1,6,D3,0.0172,0.0236,0.023,0.0058,6e-4,5.8,0.6,10.345
Ostrea lurida,Yellow,16,21,Tide,15,8,5,C8,0.0172,0.0268,0.0259,0.0087,9e-4,8.7,0.9,10.345
Ostrea lurida,Yellow,17,21,No Tide,21,5,6,A3,0.0184,0.0259,0.0252,0.0068,7e-4,6.8,0.7,10.294
Ostrea lurida,Yellow,18,21,No Tide,21,5,6,D7,0.0193,0.0311,0.03,0.0107,0.0011,10.7,1.1,10.28
Ostrea lurida,Yellow,18,21,Tide,21,5,6,B11,0.0164,0.0261,0.0252,0.0088,9e-4,8.8,0.9,10.227
Ostrea lurida,Yellow,11,24,No Tide,15,3,5,D3,0.0178,0.034,0.0325,0.0147,0.0015,14.7,1.5,10.204
Ostrea lurida,Yellow,19,21,Tide,15,6,6,E6,0.0174,0.0336,0.0321,0.0147,0.0015,14.7,1.5,10.204
Ostrea lurida,Yellow,8,18,No Tide,15,10,4,B10,0.0166,0.0383,0.0363,0.0197,0.002,19.7,2,10.152
Ostrea lurida,Yellow,15,24,No Tide,15,8,5,A12,0.016,0.0247,0.0239,0.0079,8e-4,7.9,0.8,10.127
Ostrea lurida,Yellow,12,24,Tide,15,8,5,F4,0.0176,0.0319,0.0306,0.013,0.0013,13,1.3,10
Ostrea lurida,Yellow,13,24,No Tide,15,6,5,C2,0.0203,0.0324,0.0313,0.011,0.0011,11,1.1,10
Ostrea lurida,Yellow,10,18,No Tide,15,4,4,H12,0.0144,0.031,0.0295,0.0151,0.0015,15.1,1.5,9.934
Ostrea lurida,Yellow,11,24,No Tide,15,2,5,D2,0.0133,0.0233,0.0224,0.0091,9e-4,9.1,0.9,9.89
Ostrea lurida,Yellow,20,21,Tide,21,3,7,A5,0.0206,0.0306,0.0297,0.0091,9e-4,9.1,0.9,9.89
Ostrea lurida,Yellow,17,21,Tide,15,6,5,F10,0.0169,0.0258,0.025,0.0081,8e-4,8.1,0.8,9.877
Ostrea lurida,Yellow,17,21,No Tide,21,8,6,A6,0.0172,0.0373,0.0355,0.0183,0.0018,18.3,1.8,9.836
Ostrea lurida,Yellow,4,15,Tide,15,6,2,C6,0.0209,0.0511,0.0484,0.0275,0.0027,27.5,2.7,9.818
Ostrea lurida,Yellow,17,21,No Tide,15,2,5,H2,0.021,0.0311,0.0302,0.0092,9e-4,9.2,0.9,9.783
Ostrea lurida,Yellow,10,18,No Tide,15,9,5,A5,0.0174,0.0253,0.0246,0.0072,7e-4,7.2,0.7,9.722
Ostrea lurida,Yellow,8,18,No Tide,21,5,4,C3,0.0181,0.0329,0.0316,0.0135,0.0013,13.5,1.3,9.63
Ostrea lurida,Yellow,5,15,Tide,15,9,2,G1,0.0187,0.0244,0.0239,0.0052,5e-4,5.2,0.5,9.615
Ostrea lurida,Yellow,17,21,Tide,21,1,5,G3,0.0196,0.031,0.03,0.0104,0.001,10.4,1,9.615
Ostrea lurida,Yellow,19,21,Tide,15,2,6,E2,0.0193,0.0296,0.0287,0.0094,9e-4,9.4,0.9,9.574
Ostrea lurida,Yellow,19,21,No Tide,21,5,6,G11,0.0161,0.0391,0.0371,0.021,0.002,21,2,9.524
Ostrea lurida,Yellow,16,21,Tide,15,2,5,C2,0.02,0.0327,0.0316,0.0116,0.0011,11.6,1.1,9.483
Ostrea lurida,Yellow,16,21,Tide,21,5,5,D3,0.0221,0.0302,0.0295,0.0074,7e-4,7.4,0.7,9.459
Ostrea lurida,Yellow,3,15,Tide,15,5,1,H1,0.0179,0.0245,0.0239,0.0137,6e-4,13.7,0.6,4.38
Ostrea lurida,Yellow,12,24,No Tide,15,10,5,H2,0.0167,0.0354,0.0338,0.0171,0.0016,17.1,1.6,9.357
Ostrea lurida,Yellow,16,21,Tide,21,10,5,D8,0.0173,0.029,0.028,0.0107,0.001,10.7,1,9.346
Ostrea lurida,Yellow,2,15,Tide,15,8,1,D12,0.0196,0.0325,0.0314,0.0118,0.0011,11.8,1.1,9.322
Ostrea lurida,Yellow,19,21,No Tide,21,1,6,G7,0.0187,0.0246,0.0241,0.0054,5e-4,5.4,0.5,9.259
Ostrea lurida,Yellow,17,21,No Tide,21,2,5,H12,0.0186,0.0352,0.0338,0.0152,0.0014,15.2,1.4,9.211
Ostrea lurida,Yellow,7,18,No Tide,15,2,3,F10,0.0348,0.0444,0.0436,0.0088,8e-4,8.8,0.8,9.091
Ostrea lurida,Yellow,3,15,No Tide,15,10,2,B2,0.0188,0.0248,0.0243,0.0055,5e-4,5.5,0.5,9.091
Ostrea lurida,Yellow,8,18,Tide,15,6,3,H10,0.0254,0.0374,0.0364,0.011,0.001,11,1,9.091
Ostrea lurida,Yellow,17,21,Tide,21,10,5,G12,0.0177,0.0273,0.0265,0.0088,8e-4,8.8,0.8,9.091
Ostrea lurida,Yellow,12,24,Tide,15,9,5,F5,0.0162,0.0402,0.0382,0.022,0.002,22,2,9.091
Ostrea lurida,Yellow,6,18,No Tide,15,10,3,D2,0.011,0.0363,0.0342,0.0232,0.0021,23.2,2.1,9.052
Ostrea lurida,Yellow,20,21,No Tide,21,3,7,C1,0.0176,0.0333,0.032,0.0144,0.0013,14.4,1.3,9.028
Ostrea lurida,Yellow,16,21,Tide,15,7,5,C7,0.0173,0.0282,0.0273,0.01,9e-4,10,0.9,9
Ostrea lurida,Yellow,17,21,No Tide,15,1,5,H1,0.0167,0.0276,0.0267,0.01,9e-4,10,0.9,9
Ostrea lurida,Yellow,20,21,Tide,15,9,7,A1,0.0155,0.0264,0.0255,0.01,9e-4,10,0.9,9
Ostrea lurida,Yellow,13,24,Tide,21,2,5,A12,0.0208,0.0293,0.0286,0.0078,7e-4,7.8,0.7,8.974
